subid,trial,item,scope,neg_type,quant,answer
390507,test7,box,QN+,long,moreThan,yes
390507,test2,triangle,NQ,short,regular,no
390507,test5,bowling,QN,long,regular,yes
390507,test3,book,QN+,short,moreThan,yes
390507,test1,pencil,QN,short,regular,yes
984782,training1,training1,,NA,NA,yes
984782,training2,training2,,NA,NA,no
984782,test7,paper,QN+,long,moreThan,no
984782,test5,bowling,QN,long,regular,no
984782,test1,book,QN,short,regular,yes
984782,test6,balloon,NQ,long,regular,yes
984782,test3,box,QN+,short,moreThan,yes
984782,test2,pencil,NQ,short,regular,yes
984782,test8,cup,NQ+,long,moreThan,no
984782,test4,triangle,NQ+,short,moreThan,yes
162646,training1,training1,,NA,NA,yes
162646,training2,training2,,NA,NA,no
162646,test4,book,NQ+,short,moreThan,yes
162646,test1,balloon,QN,short,regular,no
162646,test6,triangle,NQ,long,regular,yes
162646,test3,pencil,QN+,short,moreThan,no
162646,test7,paper,QN+,long,moreThan,no
162646,test2,bowling,NQ,short,regular,no
162646,test5,cup,QN,long,regular,no
162646,test8,box,NQ+,long,moreThan,yes
964925,training1,training1,,NA,NA,yes
964925,training2,training2,,NA,NA,no
964925,test2,balloon,NQ,short,regular,yes
964925,test4,triangle,NQ+,short,moreThan,yes
964925,test5,paper,QN,long,regular,no
964925,test3,box,QN+,short,moreThan,yes
964925,test8,book,NQ+,long,moreThan,no
964925,test6,bowling,NQ,long,regular,yes
964925,test1,cup,QN,short,regular,no
964925,test7,pencil,QN+,long,moreThan,yes
770422,training1,training1,,NA,NA,yes
770422,training2,training2,,NA,NA,no
770422,test6,pencil,NQ,long,regular,yes
770422,test3,book,QN+,short,moreThan,no
770422,test8,paper,NQ+,long,moreThan,yes
770422,test5,box,QN,long,regular,yes
770422,test1,balloon,QN,short,regular,yes
770422,test4,cup,NQ+,short,moreThan,yes
770422,test7,triangle,QN+,long,moreThan,yes
770422,test2,bowling,NQ,short,regular,yes
442285,training1,training1,,NA,NA,yes
442285,training2,training2,,NA,NA,no
442285,test1,balloon,QN,short,regular,no
442285,test7,bowling,QN+,long,moreThan,no
442285,test6,pencil,NQ,long,regular,yes
442285,test8,triangle,NQ+,long,moreThan,yes
442285,test5,cup,QN,long,regular,no
442285,test4,paper,NQ+,short,moreThan,yes
442285,test2,book,NQ,short,regular,yes
442285,test3,box,QN+,short,moreThan,no
913582,training1,training1,,NA,NA,yes
913582,training2,training2,,NA,NA,no
913582,test5,pencil,QN,long,regular,no
913582,test7,bowling,QN+,long,moreThan,no
913582,test4,triangle,NQ+,short,moreThan,yes
913582,test3,cup,QN+,short,moreThan,no
913582,test8,box,NQ+,long,moreThan,yes
913582,test2,book,NQ,short,regular,yes
913582,test6,paper,NQ,long,regular,yes
913582,test1,balloon,QN,short,regular,no
435687,training1,training1,,NA,NA,yes
435687,training2,training2,,NA,NA,no
435687,test2,book,NQ,short,regular,no
435687,test7,cup,QN+,long,moreThan,no
435687,test4,paper,NQ+,short,moreThan,no
435687,test8,balloon,NQ+,long,moreThan,no
435687,test5,bowling,QN,long,regular,yes
435687,test3,pencil,QN+,short,moreThan,no
435687,test6,triangle,NQ,long,regular,no
903642,training1,training1,,NA,NA,yes
903642,training2,training2,,NA,NA,no
903642,test4,book,NQ+,short,moreThan,yes
903642,test7,balloon,QN+,long,moreThan,no
903642,test6,triangle,NQ,long,regular,no
903642,test8,bowling,NQ+,long,moreThan,yes
903642,test1,box,QN,short,regular,yes
903642,test5,pencil,QN,long,regular,yes
903642,test3,cup,QN+,short,moreThan,yes
903642,test2,paper,NQ,short,regular,no
868891,training1,training1,,NA,NA,yes
868891,training2,training2,,NA,NA,no
868891,test6,pencil,NQ,long,regular,yes
868891,test8,paper,NQ+,long,moreThan,yes
868891,test3,balloon,QN+,short,moreThan,no
868891,test7,triangle,QN+,long,moreThan,no
868891,test5,book,QN,long,regular,yes
868891,test1,bowling,QN,short,regular,yes
868891,test4,box,NQ+,short,moreThan,yes
868891,test2,cup,NQ,short,regular,yes
721736,training1,training1,,NA,NA,yes
721736,training2,training2,,NA,NA,no
721736,test5,book,QN,long,regular,yes
721736,test6,paper,NQ,long,regular,no
721736,test1,pencil,QN,short,regular,yes
721736,test8,balloon,NQ+,long,moreThan,yes
721736,test4,box,NQ+,short,moreThan,yes
721736,test2,triangle,NQ,short,regular,no
721736,test3,bowling,QN+,short,moreThan,yes
721736,test7,cup,QN+,long,moreThan,yes
547984,training1,training1,,NA,NA,yes
547984,training2,training2,,NA,NA,no
547984,test8,paper,NQ+,long,moreThan,yes
547984,test6,bowling,NQ,long,regular,yes
547984,test5,book,QN,long,regular,no
547984,test7,pencil,QN+,long,moreThan,no
547984,test1,box,QN,short,regular,no
547984,test2,balloon,NQ,short,regular,yes
547984,test4,cup,NQ+,short,moreThan,yes
547984,test3,triangle,QN+,short,moreThan,no
741116,training1,training1,,NA,NA,yes
741116,training2,training2,,NA,NA,no
741116,test4,balloon,NQ+,short,moreThan,yes
741116,test6,box,NQ,long,regular,yes
741116,test8,pencil,NQ+,long,moreThan,yes
741116,test1,cup,QN,short,regular,no
741116,test2,triangle,NQ,short,regular,yes
741116,test5,paper,QN,long,regular,no
741116,test7,book,QN+,long,moreThan,no
741116,test3,bowling,QN+,short,moreThan,no
450562,training1,training1,,NA,NA,yes
450562,training2,training2,,NA,NA,no
450562,test2,book,NQ,short,regular,yes
450562,test1,triangle,QN,short,regular,yes
450562,test8,pencil,NQ+,long,moreThan,yes
450562,test4,paper,NQ+,short,moreThan,no
450562,test3,box,QN+,short,moreThan,yes
450562,test6,cup,NQ,long,regular,no
450562,test7,bowling,QN+,long,moreThan,no
450562,test5,balloon,QN,long,regular,yes
755509,training1,training1,,NA,NA,yes
755509,training2,training2,,NA,NA,no
755509,test2,book,NQ,short,regular,no
755509,test7,triangle,QN+,long,moreThan,yes
755509,test6,pencil,NQ,long,regular,no
755509,test3,balloon,QN+,short,moreThan,yes
755509,test8,cup,NQ+,long,moreThan,no
755509,test5,box,QN,long,regular,yes
755509,test4,paper,NQ+,short,moreThan,no
755509,test1,bowling,QN,short,regular,yes
307267,training1,training1,,NA,NA,yes
307267,training2,training2,,NA,NA,no
307267,test6,balloon,NQ,long,regular,yes
307267,test7,paper,QN+,long,moreThan,no
307267,test5,cup,QN,long,regular,no
307267,test3,box,QN+,short,moreThan,no
307267,test2,book,NQ,short,regular,yes
307267,test4,triangle,NQ+,short,moreThan,yes
307267,test8,pencil,NQ+,long,moreThan,yes
307267,test1,bowling,QN,short,regular,no
910386,training1,training1,,NA,NA,yes
910386,training2,training2,,NA,NA,no
910386,test5,paper,QN,long,regular,yes
910386,test4,box,NQ+,short,moreThan,yes
910386,test1,cup,QN,short,regular,yes
910386,test6,book,NQ,long,regular,no
910386,test8,bowling,NQ+,long,moreThan,no
910386,test2,pencil,NQ,short,regular,no
910386,test7,balloon,QN+,long,moreThan,yes
910386,test3,triangle,QN+,short,moreThan,yes
155704,training1,training1,,NA,NA,no
155704,training2,training2,,NA,NA,no
155704,test7,balloon,QN+,long,moreThan,no
155704,test5,paper,QN,long,regular,no
155704,test8,cup,NQ+,long,moreThan,yes
155704,test6,box,NQ,long,regular,yes
155704,test1,triangle,QN,short,regular,yes
155704,test4,pencil,NQ+,short,moreThan,yes
155704,test3,book,QN+,short,moreThan,yes
155704,test2,bowling,NQ,short,regular,yes
198137,training1,training1,,NA,NA,yes
198137,training2,training2,,NA,NA,no
198137,test1,bowling,QN,short,regular,yes
198137,test6,cup,NQ,long,regular,yes
198137,test2,box,NQ,short,regular,no
198137,test8,pencil,NQ+,long,moreThan,no
198137,test7,book,QN+,long,moreThan,yes
198137,test4,triangle,NQ+,short,moreThan,no
198137,test5,paper,QN,long,regular,yes
198137,test3,balloon,QN+,short,moreThan,yes
